date,open,low,high,close,volume,ticker,hl2,rsi,sma_50,sma_100,sma_200,diff_sma50,diff_sma100,diff_sma200,bb_mid,bb_upper,bb_lower,diff_upper_bb,diff_lower_bb,local,local_text,ghl_status,ghl_color,ghl_last_change_date,ghl_days_since_last_change,ghl_last_change_price,ghl_change_percent_from_last_change,rsi_status,rsi_last_change_date,rsi_days_since_last_change,rsi_last_change_price,rsi_change_percent_from_last_change,last_max,fell_from_last_max,sector,industry,price_per_earning,earnings_per_share_basic_ttm,number_of_employees,last_local_min_date,last_local_min_price,days_after_last_local_min,percent_change_from_last_local_min,last_local_max_date,last_local_max_price,days_after_last_local_max,percent_fall_from_last_local_max
2025-11-11,5.739999771118164,5.539999961853027,5.934999942779541,5.699999809265137,1753643.0,CMPS,5.737499952316284,40.697676030411095,5.842399969100952,4.910349988937378,4.387749996185303,-2.4373572605253857,16.08133477464491,29.90712356494103,6.2229999780654905,7.066554000025321,5.37944595610566,23.97463572786269,-5.623751997998816,maximum,🚀11.98%<br>$5.93,open,gold,2025-07-24,110.0,4.369999885559082,30.434781659860377,close,2025-10-02,40.0,6.010000228881836,-5.1580766690648705,6.840000152587891,16.66667131420222,Health Technology,Biotechnology,,-2.6802,166.0,2025-11-07,5.449999809265137,4.0,4.587156123840486,2025-11-11,5.699999809265137,0.0,-0.0
2025-11-11,13.850000381469727,13.800000190734863,13.939900398254395,13.880000114440918,94326.0,GAIN,13.869950294494629,44.44447976569297,13.92059995651245,14.01439998626709,13.887199983596801,-0.29165296178588207,-0.9590126723789338,-0.051845362379654425,13.919999933242797,14.097467567191686,13.74253229929391,1.566768378658101,-0.9904021182534861,,,close,blue,2025-09-26,46.0,13.789999961853027,0.652647953856822,open,2025-10-09,33.0,13.449999809265137,3.1970283366069108,15.1899995803833,8.624091521596522,Miscellaneous,Investment Trusts/Mutual Funds,5.573178076691428,2.4905,74.0,2025-10-10,13.199999809265137,32.0,5.1515175378903155,2025-10-28,14.100000381469727,14.0,1.560285539551709
2025-11-11,16.299999237060547,16.1200008392334,16.420000076293945,16.40999984741211,59708.0,SHBI,16.270000457763672,59.839353738135564,16.356800022125245,16.241700067520142,15.306600065231324,0.32524592349911785,1.03622021827956,7.208653636199314,15.835999965667725,16.42101989008004,15.250980041255412,0.06715443492015805,-7.062887367055504,maximum,🚀9.98%<br>$16.42,close,blue,2025-11-03,8.0,15.6899995803833,4.588911958474506,open,2025-10-16,26.0,15.210000038146973,7.8895450772880515,17.209999084472656,4.6484560117282525,Finance,Regional Banks,9.62971656592923,1.7052,597.0,2025-10-24,15.75,18.0,4.1904752216641805,2025-11-11,16.40999984741211,0.0,-0.0
2025-11-11,29.1299991607666,27.985000610351562,29.0802001953125,28.31999969482422,351457.0,CMCL,28.53260040283203,28.771225211609035,32.46439994812012,27.21269992828369,20.210249948501588,-12.765984462731106,4.069055145056177,40.126914644734015,30.667000102996827,37.666140422974756,23.667859783018898,33.00190970644199,-16.427047888194537,,,close,grey,2025-11-07,4.0,27.329999923706055,3.6223921473905296,open,2025-11-11,0.0,28.31999969482422,0.0,28.709999084472656,1.3584096206375795,Non-Energy Minerals,Precious Metals,10.882262526898248,2.6024,,2025-11-05,26.559999465942383,6.0,6.626507019093375,2025-11-10,28.709999084472656,1.0,1.3584096206375795
2025-11-11,41.18000030517578,40.650001525878906,41.869998931884766,41.75,88846.0,CASS,41.260000228881836,71.90083761267327,40.079199981689456,41.51699996948242,41.92669988632202,4.168745930741791,0.5612159613865408,-0.42144954599602213,39.119999694824216,41.73339856004179,36.50660082960664,-0.039763928043612395,-12.559039929085891,maximum,🚀16.08%<br>$41.87,close,blue,2025-09-22,50.0,41.529998779296875,0.5297404940276529,close,2025-11-11,0.0,41.75,0.0,45.5099983215332,8.261917073625003,Commercial Services,Miscellaneous Commercial Services,17.943868999011475,2.3727,1248.0,2025-10-16,36.779998779296875,26.0,13.51278245147929,2025-11-11,41.75,0.0,-0.0
2025-11-11,12.859999656677246,12.779999732971191,13.319999694824219,13.220000267028809,319430.0,DOMO,13.049999713897705,49.86450859068517,14.71399995803833,14.795149917602538,11.945224967002869,-10.153593144421224,-10.646391955107493,10.671840032710488,13.20649995803833,14.289969722971446,12.123030193105215,8.093566069065684,-8.297806745582893,maximum,🚀10.22%<br>$13.32,close,blue,2025-10-30,12.0,13.720000267028809,-3.6443147978763135,open,2025-10-07,35.0,14.949999809265137,-11.571903440187171,18.200000762939453,27.36263894038613,Technology Services,Packaged Software,,-1.9518,888.0,2025-11-07,12.630000114440918,4.0,4.671418426301477,2025-11-11,13.220000267028809,0.0,-0.0
2025-11-11,1.7400000095367432,1.6299999952316284,1.7927000522613525,1.649999976158142,935325.0,HKD,1.7113500237464905,49.83606572754759,1.8144000053405762,1.7686500012874604,1.9964149963855744,-9.06084814255581,-6.708507903935146,-17.35185424145792,1.8370000064373015,2.4716520403250053,1.2023479725495978,49.79709551754037,-27.130424853147982,minimum,😭💔70.2%<br>$1.63,open,gold,2025-10-31,11.0,2.950000047683716,-44.06779832245458,close,2025-10-31,11.0,2.950000047683716,-44.06779832245458,5.21999979019165,68.39080378396791,Technology Services,Packaged Software,,,196.0,2025-11-11,1.649999976158142,0.0,0.0,2025-10-31,2.950000047683716,11.0,44.06779832245458
2025-11-11,278.45001220703125,278.25,287.30999755859375,287.30999755859375,20174.0,ITIC,282.7799987792969,68.03576477477301,261.5141998291016,241.1434002685547,235.12370025634766,9.8640141706835,19.144872817843893,22.195251795267378,266.24499969482423,284.4728084418781,248.0171909477704,-0.9875010061691447,-13.67610140430634,maximum,🚀51.06%<br>$287.31,open,gold,2025-08-19,84.0,239.89999389648438,19.762403029725185,close,2025-11-05,6.0,282.8999938964844,1.5588560471029966,287.30999755859375,-0.0,Finance,Specialty Insurance,15.109570814773521,19.0933,550.0,2025-06-05,194.2100067138672,159.0,47.937792918102474,2025-11-11,287.30999755859375,0.0,-0.0
2025-11-11,399.2300109863281,388.3999938964844,402.4924011230469,393.70001220703125,738885.0,DJCO,395.4461975097656,44.46650829396665,433.78300048828123,426.93899993896486,413.2269996643066,-9.24033174101594,-7.78541846415658,-4.725486832452508,406.7875015258789,434.1550739624701,379.4199290892877,10.275605918489305,-3.627148253740531,,,close,blue,2025-10-28,14.0,386.3399963378906,1.9050618467945535,open,2025-10-28,14.0,386.3399963378906,1.9050618467945535,490.6099853515625,19.752955715951693,Consumer Services,Publishing: Newspapers,5.606465164299192,70.2225,411.0,2025-10-27,374.5299987792969,15.0,5.118418682138959,2025-10-29,422.42999267578125,13.0,6.801122308282814
2025-11-11,11.529999732971191,11.399999618530273,11.770000457763672,11.65999984741211,296185.0,AVNS,11.585000038146973,46.666666666666664,11.665000019073487,11.641100025177002,12.770700025558472,-0.04286473770426236,0.16235426372277484,-8.697253681657834,11.430999946594238,12.023511156530699,10.838488736657776,3.117592743358988,-7.04554992714399,,,close,blue,2025-10-03,39.0,11.789999961853027,-1.102630321132636,open,2025-10-10,32.0,10.699999809265137,8.971963133267602,24.139999389648438,51.69842526005996,Health Technology,Medical Specialties,,-10.1827,2227.0,2025-11-06,11.180000305175781,5.0,4.293376825885353,2025-11-05,10.65999984741211,6.0,-9.380863173677877
